ques_id	ques_category	ques_group	ans_type	ques_text_short	ques_text
1	START OF SURVEY	1	1	Have you been diagnosed with CD?	Have you been diagnosed with CD?
2	START OF SURVEY	2	1	Has your child been diagnosed with CD?	Has your child been diagnosed with CD?
3	START OF SURVEY	3	2	Age	Age
4	CD QOL 19 and Above	4	3	I feel limited by this disease.	I feel limited by this disease.
5	CD QOL 19 and Above	5	3	I feel worried that I will suffer from this disease.	I feel worried that I will suffer from this disease.
6	CD QOL 19 and Above	6	3	I feel concerned that this disease will cause other health problems.	I feel concerned that this disease will cause other health problems.
7	CD QOL 19 and Above	7	3	I feel worried about my increased risk of cancer from this disease.	I feel worried about my increased risk of cancer from this disease.
8	CD QOL 19 and Above	8	3	I feel socially stigmatized for having this disease.	I feel socially stigmatized for having this disease.
9	CD QOL 19 and Above	9	3	I feel like I am limited eating meals with coworkers.	I feel like I am limited eating meals with coworkers.
10	CD QOL 19 and Above	10	3	I feel like I am not able to have special foods like birthday cake and pizza.	I feel like I am not able to have special foods like birthday cake and pizza.
11	CD QOL 19 and Above	11	3	I feel that the diet is sufficient treatment for my disease.	I feel that the diet is sufficient treatment for my disease.
12	CD QOL 19 and Above	12	3	I feel that there are not enough choices for treatment.	I feel that there are not enough choices for treatment.
13	CD QOL 19 and Above	13	3	I feel depressed because of my disease.	I feel depressed because of my disease.
14	CD QOL 19 and Above	14	3	I feel frightened by having this disease.	I feel frightened by having this disease.
15	CD QOL 19 and Above	15	3	I feel like I don't know enough about this disease.	I feel like I don't know enough about this disease.
16	CD QOL 19 and Above	16	3	I feel overwhelmed about having this disease.	I feel overwhelmed about having this disease.
17	CD QOL 19 and Above	17	3	I find it difficult to travel or take long trips because of my disease.	I find it difficult to travel or take long trips because of my disease.
18	CD QOL 19 and Above	18	3	I feel like I cannot live a normal life because of my disease.	I feel like I cannot live a normal life because of my disease.
19	CD QOL 19 and Above	19	3	I feel afraid to go out because my food may be contaminated.	I feel afraid to go out because my food may be contaminated.
