1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167
1		4																																																																																																																																																																				
1		4	1	1	4	1	3	2	1	5	1	1	1	1	1	1	1	1	3	1	3	4	4	4	1	4	3	1	4	1	1	3	3	2	1	5	4	1	1	1	1	1	1	5	3	3	3		2		3	2	3	1	1	1			4		1			4			21	2			3					8	9																										1		2		1	2		1				3															9		2	1															3																9	2	1	Maryland
1		4	3	1	2	2	1	2	1	4	3	1	1	1	1	3	2	4	4	2	2	3	3	3	4	2	2	2	3	2	1	1	1	2	1	2	3	2	1	1	1	1	1	5	3	5	3	6 months	2		2	1	3	1	1		2								5		16	2			3					8				12				16			19								27		29				33		2	10 years	3		1	3		1		1				5													9		2	1																	5					Lupus									9	2	1	Pennsylvania
1		4	3	3	3	3	3	5	2	1	5	3	2	2	3	4	4	5	4	4	4	3	4	4	4	1	2	3	5	3	4	1	3	4	4	5	5	3	2	1	1	1	1	5	3	5	2		2		3	2	3	2	1	1									5		21	2			3		5	6	7		9			12		14	15			18	19				23										33		1		2		1	2		4	6								8										9		2	1																					9										9	2	1	Washington
1		4	4	3	5	5	3	5	2	1	3	2	1	1	1	5	2	5	3	3	4	3	2	2	5	2	1	2	1	3	1	1	2	2	2	3	1	3	1	1	1	1	1	5	3	4	1		2		3	2	1	1	1	1	2				1		3	4			23	2	1		3				7	8							15	16			19				23				27								1		3		1	3		4	1								8										9		2	1															3																9	2	1	texas
1		4	3	2	3	4	3	5	4	3	4	2	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	5	3	3	3		1	12 months	3	1	3	2	1	1			4						5		19	2			3		5		7	8				12		14	15	16	17																		1		3		1	3		2									8										9		2	1																					9							6				2	1	Pa
1		4	2	1	2	2	3	5	4	5	1	2	1	1	1	4	2	3	2	3	3	3	3	3	3	1	3	4	3	3	5	2	2	4	4	5	3	3	1	1	1	1	1	5	3	3	1	1.5 years	2		3	1	1	1	1	1	2				1						17	2			3									12		14	15														29						1		5	pediatric gastroenterologist	1	3		4	12								8											crohns disease	2	1																					9										9	2	1	new york
1		4	3	2	5	1	3	4	4	1	4	2	1	3	2	4	2	3	3	2	3	3	3	3	4	3	4	3	3	2	3	2	2	2	2	3	3	2	3	1	1	1	1	5	2	3	3		2		3	2	3	1	1	1			4						5		15	2	1	2	3	4			7					12		14		16	17								25				29			32			2	5 years	4		1	4		1				3	4	5			8									8			2	1															3					8							5					2	1	Washington, DC
1		4	4	4	4	4	4	4	3	1	5	4	4	4	4	5	4	5	4	4	4	2	2	3	3	1	3	4	4	5	5	5	3	3	4	4	4	5	2	1	2	1	1	5	3	5		14 months	1	16	3	1	1	1	1	1			4		1						23	2		2	3		5	6	7	8	9	10		12	13	14	15	16	17		19								27		29	30	31		33		2	18	3		1	3		1									8										9		3	1														2	3		5			8		schleraderma						6				1	2	Colorado
1		4	3	5	4	3	4	3	2	3	4	2	3	1	3	3	2	4	2	3	3	2	2	2	3	2	3	3	4	3	4	2	3	2	2	2	4	3	2	2	3	2	3	3	3	2	4		2		2	3	1	1	1	1	2								5		16	2																																		34	1		1		3	2		4	1			3		5				i know what they are going to tell me- follow diet, complications,etc									9		1			3											1																		9	2	1	Texas
1		4	4	4	4	3	2	4	3	3	3	2	3	4	4	5	3	4	3	4	4	2	2	3	3	2	4	2	4	1	3	1	2	2	2	1	4	1	1	1	2	2	1	5	3	2	1		2		3	2	1	1	1	1	2	3			1						23	2			3		5			8							15							22	23				27								2	1 month	3		1	2		4	4								8										9		2	1																	5			8											9	2	1	Washington
1		4	5	5	5	5	5	5	5	2	4	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	4	4	5	4	5	4	4	3	2	5	5	4	4	1	4	1	1	5	2	2	1	1year	1	6months	3	2	3	1	1	1	2	3	4		1		3				18	2			3				7	8				12				16																			2	11years	3		1	3		4	6								8										9		2	1															3													6				2	1	California
1		4	2	1	2	2	2	4	4	5	2	1	1	1	1	1	1	2	1	3	2	3	2	4	4	4	3	4	2	2	4	2	1	1	2	2	2	2	1	1	1	2	1	5	3	3	1		2		3	1	1	1	1				4						5		14	2			3		5		7	8				12			15		17	18				22	23		25		27	28				32	33		2	1 year	5	Eastern Medicine Professional	1	2		1					4	5		7											9		2	1																					9										9	2	1	Georgia
1		4	4	1	2	4	5	5	5	4	3	1	3	1	1	3	1	5	1	1	1	1	1	1	3	3	4	1	4	1	1	1	2	2	1	2	4	1	1	1	1	1	1	5	2	5	1	18 months	2		3	3	1	1	1	1	2				1						18	2	1		3		5			8		10				14																			33		2	6 months	3		1	3		4	multiple								8											IBD	2	1																					9										9	2	7	Pennsylvania
1		4	4	3	3	1	5	5	4	3	5	4	3	2	4	5	5	5	2	4	3	2	3	3	2	2	4	2	2	1	1	2	2	2	2	2	2	1	2	1	1	1	1	5	2	5	3		2		3	2	3	1	1	1	2								5		15	2			3			6		8																									33		2	5 years	3		1	3		4	3								8										9		2	1																					9										9	2	1	New York
1		4	4	3	4	4	2	4	4	2	3	2	2	1	2	4	4	3	4	2	4	1	2	1	1	1	4	2	3	4	5	3	2	2	2	2	3	4	1	1	4	1	1	4	2	5		6 months	1	6	3	2	2	1	1	1					1			4			24	1			3	4			7	8	9		11	12		14	15	16			19		21	22	23	24	25	26	27		29				33		2	1 month	3		1	3		3									8										9		3	1																					9										9	2	1	Romania
1		4	2	4	2	2	1	4	2	3	3	1	1	3	1	2	2	2	2	1	2	2	3	3	4	4	3	3	3	2	2	1	2	2	2	2	3	2	2	1	1	1	1	5	2	1	1	9 months	2		3	1	3	1	1	1	2		4						5		22	2			3		5			8					13	14			17		19													32			2	4 months	3		1	2		4	2								8										9		2	1															3		5														9	2	1	Kansas
1		4	2	3	3	3	4	4	1	5	2	2	3	1	3	3	3	5	4	4	3	3	5	2	3	1	4	1	5	3	2	2	2	3	2	4	5	3	1	1	1	1	1	5	2	5	3		2		3	2	2	1	1	1	2	3			1			4			19	2			3									12		14	15													28	29				33		2	10 months	3		1	3		3									8											gastroparesis	2	1													1																		9	2	1	Delaware
1		4	5	5	5	5	5	3	3	1	1	3	1	1	2	2	2	5	3	4	3	2	1	4	4	1	2	4	3	1	3	1	3	3	2	2	3	1	2	3	1	2	1	5	3	3	4		2		3	3	2	1	1		2								5		16	2			3									12			15								23												1		3		3	2		1									8										9		2	1															3																9	2	1	Georgia
1		4	3	3	5	5	5	4	5	4	5	2	4	3	2	4	3	4	4	5	5	2	3	3	2	2	3	3	5	4	5	2	2	2	3	4	5	4	2	1	2	1	1	5	3	4	1	not sure	2		3	3	1	1	1	1	2	3			1						1	2			3		5	6		8				12			15		17		19								27			30			33		2	6 months	3		1	2		1									8										9		2	1																					9										9	2	1	CA
1		4																																																																																																																																																																				
1		4	5	5	5	5	2	5	4	4	4	4	5	1	1	2	1	5	4	5	5	2	3	3	4	4	4	4	5	5	5	1	2	2	2	2	5	5	5	5	1	1	1	5	3	5	1		2		3	2	2	1	1	1	2						3	4			24	2			3		5		7	8		10		12		14		16					21														2	1	5	myself	3	3		1		1																	9		1			3									12	13			3					8				2				6				2	1	Denmark
1		4																																																																																																																																																																				
1		4																																																																																																																																																																				
1		4	2	2	3	4	2	3	2	2	2	1	2	1	1	2	1	4	4	2	4	2	1	3	4	2	3	1	3	1	2	1	2	3	3	4	3	1	1	1	1	1	1	5	3	5	3	1 year	2		1	1	2	1	1	1	2				1						18	2	1		3		5		7	8	9			12			15	16	17						23				27		29						2	2 years	2		1	2		1		1				5							3			6				Endometriosis	2	1													1		3		5														9	2	1	Pennsylvania
1		4	2	2	1	1	1	4	4	3	2	1	1	1	1	3	2	5	4	4	2	3	2	3	3	1	2	4	2	1	3	2	2	1	1	1	2	1	2	1	1	1	1	5	3	3	1		2		3	3	3	1	1	1	2								5		20	2												12											23												2	3 months	3		1	2		3						5			8				3								2	1															3										3		5					2	1	North Carolina
1		4	4	3	1	1	5	5	3	5	1	1	2	1	1	3	2	5	1	1	1	2	1	4	3	3	2	3	2	3	1	1	1	1	1	1	2	3	1	1	1	1	1	5	3	5	1	6 mos	2		1	1	1	1	1	1	2		4		1			4			18	2			3		5		7	8				12	13	14	15	16	17	18	19				23				27	28	29	30			33		2	5 years	3		1	2		4	Once per year								8										9		2	1													1							8							5					2	1	Canada
1		4	4	3	3	3	2	5	5	2	3	1	1	1	4	5	4	5	5	5	3	4	1	2	3	2	2	1	2	1	4	1	2	1	1	1	2	1	1	1	1	1	1	5	3	3	1		2		3	1	1	2	1	1	2								5		19	2			3		5										15																				1		3		1	3		4	8								8										9		1			3	4																		9							6				2	1	DC
1		4																																																																																																																																																																				
1		4	4	1	1	1	3	5	4	5	5	1	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	2	1	1	3	3	2	1	5	3	2	3		1	4 mos	3	2	1	2	1	1	2	3			1	2	3	4			13	2																									25					30																																																																				
1		4	4	4	4	4	4	5	4	3	5	2	2	2	4	5	4	5	5	4	4	1	1	1	1	1	5	1	4	4	4	1	2	2	2	4	4	4	2	1	3	1	1	5	3	1	1		2		1	1	3	1	1	1	2								5		20	2							7																23	24				28							2	20 years	2		3	2		3									8										9		2	1													1																		9	2	1	North Carolina
1		4																																																																																																																																																																				
1		4	2	1	5	5	2	3	2	5	4	1	1	1	2	3	1	1	3	1	5	3	3	2	3	3	4	3	4	4	2	2	2	2	2	4	4	4	1	1	1	2	1	5	3	5		3 months	2		3	2	3	1	2			3							5		11	2	1		3				7	8					13	14	15	16	17	18	19					24	25		27		29						2	6 years	5	Family member	1	2		3			2	3	4	5									5	6					1			3							10												9										9	2	1	New York
1		4	5	5	5	5	5	5	3	1	5	1	2	3	1	5	5	3	4	5	5	3	2	3	3	3	3	3	3	1	3	1	2	1	2	3	3	1	2	1	1	1	1	5	2	5	3		2		3	2	2	2	1	1	2		4		1						17	2			3	4		6		8	9			12															27			30			33		2	1 month	3		1	3		1						5													9		2	1													1		3																9	2	1	New York
1		4	4	2	4	2	4	5	4	5	5	1	3	2	3	2	2	3	4	2	4	3	3	2	4	3	4	3	4	3	2	2	2	2	2	5	4	3	2	1	1	1	1	5	2	4	4		2		3	1	3	1	1		2	3	4						5		18	2			3		5			8				12		14	15				19																2	6 years	3		1	3		3									8										9		1		2												1									Unknown autoimmune condition									9	2	1	Missouri
1		4	4	4	5	3	5	5	5	1	5	5	3	3	5	5	5	4	5	5	5	1	1	3	3	2	1	3	4	4	4	4	2	2	4	4	4	4	2	1	1	1	1	5	2	1	1	I don't know	1	18 months old	3	1	2	1	1	1	2								5		"1.5
"	2					5		7	8						14		16	17															32			1		3		3	3		2		1																	9		1						6																9										9	2	1	New jersey
1		4	2	2	3	3	3	5	4	4	2	1	2	2	3	3	3	3	4	3	4	2	3	1	2	1	3	3	3	2	2	1	1	1	1	1	3	2	1	1	1	2	1	5	3	3	2		2		3	1	2	2	1	1					1		3				23	2																																		34	1		2		3	2		3		1				5													9		1		2																				9										9	2	1	Iowa
1		4	3	4	3	3	3	2	1	5	1	2	1	1	2	4	2	5	2	5	3	2	2	1	2	2	1	1	3	2	1	1	1	1	1	1	3	2	1	1	1	1	1	5	2	5		3 months	2	9 months	3	2	1	1	1	1			4					4			19	2			3				7	8						14			17	18														32	33		2	14 years	2		1	2		4	5								8			2									2	1																					9										9	2	1	Florida
1		4	4	3	4	3	2	3	4	3	3	4	3	2	2	3	3	5	3	5	5	4	4	3	3	3	4	2	5	2	3	4	3	3	3	4	5	2	2	1	4	1	1	5	2	4	4		2		4	2	1	2	1	1	2	3			1			4			20	2	1	2	3	4	5	6	7	8	9			12	13			16	17		19				23	24	25		27			30			33		2	10 years	3		3	3		4	15								8				3					8		Addison's disease	2	1													1																		9	1	5	New Jersey
1		4	5	3	5	2	3	3	1	3	3	5	3	2	3	3	2	3	2	5	5	3	2	3	2	4	3	3	3	3	4	1	4	4	4	5	3	3	2	1	4	1	1	5	3	5	1	18 months	1	9 months	3	2	3	1	1	1	2								5		25	2			3					8		10		12	13		15					20			23	24	25		27						33		2	3 months	3		1	3		3									8										9		1												12										9										9	2	1	Florida
1		4	4	5	2	2	3	4	4	3	4	4	5	5	5	5	4	5	3	4	3	2	3	3	3	2	3	2	4	3	4	3	3	3	2	2	4	3	4	1	2	1	1	4	3	2	3	unsure	2		3	3	3	2	1	1					1	2		4			20	2			3				7					12		14	15								23	24	25							32			2	8 years	2		1	2		3									8										9		2	1													1		3																9	2	1	California
1		4																																																																																																																																																																				
1		4	4	4	5	4	3	5	5	1	3	2	2	2	2	5	3	4	4	3	4	4	3	3	4	2	3	2	5	5	3	2	3	4	5	5	5	5	2	1	1	2	1	5	3	3	1	1 year	2		3	3	3	1	1	1	2								5		"16
"	2			3				7					12		14		16							23	24	25										1		3		2	3		4	3								8											Fibromyalgia, Hashimoto's thyroiditis, chronic migraine, chronic fatigue syndrome, postural orthostatic tachycardia syndrome	1				4										1		3		5			8								6				2	1	Pennsylvania
1		4	3	1	5	1	1	4	5	5	1	1	1	1	1	4	4	4	5	5	3	3	2	3	3	4	4	5	4	1	5	1	3	3	2	4	4	1	2	2	2	2	1	5	2	1	4		2		3	3	2	1	2					5					5		25	2	1		3		5			8					13																			32			1		5	Me, I'm a nurse	1	2		3						5			8				3								1			3	4						10				1		3												5					1	1	Oklahoma
1		4	5	5	4	2	4	5	5	4	4	3	4	3	3	5	5	5	2	5	5	3	3	3	3	3	4	3	4	4	4	4	3	2	2	4	4	4	4	1	3	1	2	5	3	5	2		2		3	1	3	1	2	1	2		4						5		18	2			3		5		7	8		10		12		14	15	16	17	18									27	28	29		31		33		2	About 4-6 months	4		1	4		4	too many to count								8										9		2	1													1		3					8			1	2			5		7	8		2	1	New Jersey
1		4	3	3	4	3	5	2	2	4	1	1	2	1	1	4	1	3	4	3	3	2	1	2	2	2	1	1	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	5	3	5	1	One year?	2		3	1	3	1	1	1									5		16	2			3				7	8	9			12		14			17	18	19								27		29				33		2	6 months	2		1	2		3									8										9		2	1															3																9	2	1	Texas
1		4	3	2	3	1	2	5	4	4	4	1	1	1	1	1	1	2	1	3	2	3	2	3	1	1	1	3	1	4	4	1	2	1	1	2	1	4	4	1	1	4	1	3	3	2	3		2		3	3	1	1	1	1			4						5		16	2					5	6		8	9				13	14	15	16	17																33		1		3		1	5	none	1		1																	9		1		2		4																		9						5		7			1	1	North Carolina
1		4	4	4	5	5	5	4	2	5	3	2	1	1	2	4	1	2	4	4	4	1	2	1	2	1	2	2	3	2	4	5	1	3	3	2	3	2	2	1	1	1	1	5	2	5	2		1	6 months	3	1	3	1	1	1	2				1			4			15	2		2	3		5			8				12	13	14	15		17		19										29			32			2	12 years	3		1	2		3									8				3			6					2	1													1		3							MS									9	2	1	Michigan
1		4	3	4	2	2	3	5	3	5	1	2	1	1	1	2	2	2	2	3	3	3	1	1	2	1	1	3	3	2	3	1	1	1	1	1	3	2	2	2	2	1	1	5	3	5	4		1	18 months	3	3	3	1	1	1	2	3							5		3	2			3									12							19								27								2	3 months	3		1	3		4	3								8										9		2	1																					9										9	2	1	Virginia
1		4	5	5	5	4	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	4	3	4	4	5	5	3	1	1	1	1	5	3	2	3		2		2	1	1	1	1	1									5		23	2			3				7	8	9	10		12	13	14	15	16	17												29			32			2	unknown stomach problems since age 5	2		3	3		4	2								8										9		2	1																	5			8											9	2	1	WA
1		4																																																																																																																																																																				
1		4	4	3	4	4	4	4	5	5	2	3	2	3	5	4	4	3	3	5	4	3	3	5	5	2	4	5	4	2	5	2	3	2	5	4	4	2	2	1	2	1	1	4	3	2	2		2		2	1	3	2	1		2		4						5		23	2			3		5		7	8	9			12	13	14	15	16	17	18									27			30		32			2	1.5 years	3		1	3		3									8	I am a registered dietitian									9		2	1													1																		9	2	1	Alabama
1		4	4	2	4	3	2	4	3	4	3	2	1	1	1	4	2	2	4	4	4	3	1	3	4	3	4	2	2	3	4	1	2	1	2	2	2	3	2	2	1	2	2	5	3	2	1		2		3	1	1	1	1	1	2						3				13	2	1		3			6		8				12				16	17		19				23			26	27		29				33		2	1 year	1		1	1		1		1				5							3								1						6				10	11	12		1				5			8											9	2	1	Minnesota
1		4	3	4	5	5	4	4	5	1	5	2	1	3	2	4	4	2	2	5	4	5	3	4	5	5	5	4	5	5	5	4	3	3	4	5	5	5	4	1	2	2	1	2	3	4	3		2		3	2	1	1	2	1			4		1		3	4			24	2							7			10		12		14				18	19						25	26	27	28	29			32			2	13 years	2		1	2		4	3								8										9		2	1																						fibromyalgia, ulcers	1					6				2	1	oregon
